0.748,0.883,0.619
0.477,0.043,0.338
0.470,0.682,0.799
0.016,0.782,0.498
0.976,0.222,0.539
0.689,0.974,0.549
0.706,1.025,0.552
0.876,0.024,0.605
0.701,1.035,0.569
0.532,0.071,0.280
0.341,0.041,0.285
0.758,1.000,0.543
0.967,0.265,0.549
0.012,0.864,0.440
0.913,0.069,0.654
0.908,0.282,0.403
0.102,0.796,0.393
0.830,0.193,0.441
0.438,0.726,0.813
0.916,0.163,0.431
0.475,0.122,0.326
0.943,0.187,0.510
0.083,0.721,0.442
0.737,0.956,0.446
0.430,0.018,0.345
0.929,0.204,0.536
0.452,0.000,0.278
0.668,0.981,0.545
0.900,0.177,0.444
0.934,0.244,0.500
0.693,0.936,0.536
1.025,0.217,0.567
0.081,0.828,0.437
0.086,0.803,0.513
0.939,0.230,0.483
0.513,0.036,0.317
0.945,0.219,0.500
0.488,0.686,0.746
0.561,0.048,0.170
0.404,0.110,0.263
0.537,0.666,0.879
0.920,0.199,0.447
0.463,0.076,0.330
0.984,0.038,0.581
0.183,0.754,0.455
0.429,0.047,0.275
0.889,0.233,0.551
0.655,0.964,0.544
0.499,0.026,0.270
0.938,0.233,0.465
0.368,0.083,0.282
0.581,0.109,0.268
0.728,0.948,0.505
0.407,0.061,0.341
0.500,0.061,0.272
0.950,0.013,0.603
0.484,0.663,0.830
0.086,0.695,0.469
0.399,0.044,0.310
0.449,0.069,0.363
0.909,0.206,0.473
0.932,0.053,0.629
0.426,0.689,0.874
0.390,0.029,0.322
0.542,0.073,0.233
0.656,0.947,0.530
0.999,0.049,0.568
0.984,0.003,0.575
0.402,0.138,0.258
0.989,0.315,0.543
0.485,0.707,0.767
0.696,1.006,0.571
0.996,0.056,0.671
0.737,0.958,0.521
0.989,0.028,0.626
0.744,0.937,0.493
0.372,0.041,0.292
0.912,0.195,0.429
0.865,0.014,0.594
0.423,0.012,0.271
0.923,0.091,0.601
0.538,0.717,0.765
0.407,0.070,0.325
0.903,0.199,0.469
0.872,0.275,0.417
0.518,0.037,0.231
0.782,0.936,0.487
0.350,0.066,0.256
0.764,0.983,0.589
0.754,0.968,0.480
0.718,0.976,0.487
0.546,0.053,0.253
0.690,0.995,0.513
0.534,0.159,0.291
0.457,0.694,0.774
0.895,0.278,0.451
0.551,0.020,0.194
0.342,0.040,0.261
0.525,0.663,0.830
0.493,0.678,0.822
0.057,0.854,0.383
0.967,0.222,0.476
0.885,0.179,0.512
0.489,0.097,0.325
0.442,0.136,0.280
0.905,0.209,0.517
0.933,0.046,0.620
0.924,0.036,0.516
0.940,0.226,0.474
0.478,0.063,0.366
0.953,0.233,0.500
0.535,0.666,0.803
0.424,0.000,0.344
0.501,0.650,0.782
0.395,0.138,0.182
0.730,0.980,0.508
0.056,0.802,0.453
0.469,0.069,0.236
0.944,0.179,0.445
0.028,0.703,0.483
0.721,0.975,0.561
0.926,0.033,0.562
0.100,0.780,0.422
0.461,0.720,0.876
0.742,0.980,0.537
0.947,0.161,0.496
0.940,0.170,0.442
0.110,0.807,0.447
0.363,0.062,0.304
0.543,0.756,0.750
0.992,0.033,0.610
0.655,0.930,0.497
0.457,0.043,0.310
0.088,0.718,0.419
0.409,0.075,0.301
0.448,0.039,0.261
0.966,0.213,0.547
0.330,0.078,0.278
0.513,0.080,0.273
0.731,0.993,0.556
0.507,0.722,0.843
0.378,0.096,0.295
0.475,0.742,0.793
0.094,0.752,0.366
0.522,0.614,0.873
0.975,0.297,0.534
0.927,0.245,0.391
0.395,0.120,0.276
0.936,0.018,0.573
0.993,0.183,0.558
0.030,0.809,0.470
0.923,0.214,0.459
0.889,0.013,0.573
0.504,0.077,0.295
0.936,0.250,0.532
0.966,0.218,0.451
0.948,0.189,0.476
0.472,0.049,0.297
0.912,0.009,0.573
0.967,0.030,0.566
0.378,0.085,0.383
0.914,0.266,0.521
0.401,0.027,0.256
0.886,0.236,0.635
0.969,0.238,0.464
0.678,0.950,0.456
0.451,0.711,0.785
0.526,0.098,0.229
0.730,0.938,0.506
0.065,0.732,0.469
0.907,0.059,0.553
0.388,0.067,0.328
0.958,0.022,0.601
0.704,1.040,0.513
0.984,0.234,0.590
0.696,0.956,0.514
0.647,1.024,0.527
0.941,0.218,0.499
0.777,0.961,0.558
0.563,0.736,0.789
0.903,0.011,0.684
0.451,0.060,0.250
0.949,0.259,0.546
0.881,0.232,0.395
0.864,0.221,0.419
0.892,0.220,0.492
0.469,0.048,0.275
0.958,0.055,0.708
0.759,0.916,0.565
0.039,0.777,0.413
0.766,1.072,0.519
0.725,0.986,0.596
0.695,0.997,0.467
0.346,0.017,0.339
0.462,0.676,0.775
0.401,0.024,0.251
0.916,0.017,0.655
0.431,0.113,0.241
0.560,0.057,0.234
0.917,0.271,0.501
0.610,0.080,0.253
0.120,0.813,0.426
0.485,0.667,0.797
0.755,0.919,0.606
0.890,0.261,0.475
0.986,0.105,0.503
0.356,0.022,0.327
0.811,0.010,0.599
0.338,0.110,0.261
1.006,0.270,0.541
0.089,0.837,0.415
0.484,0.056,0.300
0.441,0.112,0.270
0.357,0.060,0.350
0.450,0.082,0.230
0.104,0.786,0.427
0.954,0.264,0.586
0.990,0.268,0.508
0.955,0.006,0.618
0.519,0.653,0.725
0.060,0.784,0.481
0.397,0.030,0.273
0.017,0.786,0.393
0.085,0.797,0.474
0.734,0.922,0.540
0.932,0.052,0.579
0.905,0.026,0.595
0.142,0.740,0.443
0.890,0.032,0.587
0.509,0.685,0.827
0.705,0.933,0.576
0.065,0.787,0.435
0.119,0.745,0.436
0.512,0.727,0.717
0.415,0.031,0.232
0.912,0.203,0.416
0.537,0.736,0.852
0.321,0.042,0.294
0.677,0.951,0.587
0.413,0.080,0.203
0.538,0.637,0.775
0.019,0.760,0.480
0.888,0.030,0.621
0.762,0.972,0.576
0.378,0.042,0.346
1.019,0.014,0.559
0.468,0.621,0.756
0.730,1.005,0.559
0.735,1.040,0.573
0.967,0.167,0.538
0.122,0.760,0.452
0.530,0.066,0.248
0.743,0.965,0.583
0.894,0.018,0.633
0.467,0.100,0.200
0.306,0.095,0.275
0.397,0.002,0.304
0.966,0.029,0.561
0.389,0.124,0.326
0.459,0.106,0.326
0.755,0.975,0.608
0.405,0.084,0.285
0.051,0.790,0.423
0.701,0.971,0.551
0.066,0.780,0.458
0.919,0.310,0.580
0.392,0.058,0.244
0.511,0.686,0.731
0.315,0.065,0.290
0.965,0.185,0.453
0.586,0.100,0.330
0.465,0.028,0.256
0.525,0.042,0.179
0.854,0.264,0.506
0.700,1.015,0.517
0.924,0.024,0.640
0.966,0.250,0.562
0.911,0.183,0.469
0.919,0.116,0.544
0.970,0.182,0.633
0.941,0.090,0.592
0.956,0.034,0.575
0.900,0.247,0.557
0.921,0.238,0.517
0.955,0.201,0.410
0.888,0.207,0.498
0.418,0.095,0.256
0.630,0.967,0.510
0.970,0.049,0.549
0.410,0.145,0.274
0.667,1.049,0.561
0.139,0.793,0.491
0.028,0.788,0.523
0.303,0.080,0.284
0.947,0.045,0.640
0.486,0.732,0.779
0.581,0.016,0.343
0.737,0.924,0.571
0.465,0.110,0.280
0.977,0.165,0.534
0.080,0.739,0.457
0.371,0.071,0.293
0.894,0.200,0.539
0.518,0.013,0.296
0.341,0.004,0.250
0.475,0.141,0.355
0.092,0.805,0.411
0.715,1.069,0.577
0.004,0.784,0.354
0.705,0.990,0.575
0.909,0.011,0.535
0.316,0.077,0.277
0.556,0.116,0.287
0.952,0.029,0.610
0.750,1.017,0.495
0.835,0.217,0.495
0.708,0.910,0.556
0.341,0.127,0.358
0.455,0.071,0.281
0.141,0.787,0.420
0.512,0.080,0.291
0.540,0.047,0.232
0.403,0.042,0.238
0.984,0.214,0.518
0.433,0.151,0.341
0.435,0.074,0.297
