0.325,0.081
0.467,0.056
0.324,0.090
1.006,0.554
0.389,0.011
0.582,0.802
0.435,0.756
0.995,0.504
0.297,0.920
0.424,0.782
0.105,0.828
0.266,0.514
0.500,0.102
0.498,0.791
0.359,0.102
0.412,0.068
0.687,0.832
0.975,0.597
0.091,0.763
0.491,0.084
0.316,0.974
0.705,0.751
0.625,0.812
0.372,0.015
0.046,0.725
0.612,0.783
0.286,0.872
0.225,0.912
0.320,0.875
0.616,0.847
0.287,0.982
0.433,0.683
0.341,0.004
1.013,0.549
0.346,0.738
0.385,0.069
0.387,0.053
0.612,0.822
0.633,0.779
0.324,0.946
0.419,0.699
0.396,0.068
0.032,0.788
0.488,0.127
0.311,0.936
0.361,0.112
0.281,0.937
0.343,0.961
0.351,0.012
0.128,0.833
0.272,0.462
0.619,0.824
0.309,0.539
0.437,0.724
0.445,0.682
0.444,0.718
0.420,0.644
0.503,0.082
0.025,0.813
0.291,0.847
1.005,0.525
0.703,0.861
0.539,0.014
0.970,0.545
0.084,0.788
0.981,0.580
0.324,0.817
0.956,0.515
0.442,0.699
0.265,0.900
0.266,0.876
0.302,0.449
0.060,0.773
0.417,0.059
0.329,0.061
0.986,0.506
0.403,0.694
0.915,0.542
0.257,0.511
0.656,0.849
0.490,0.052
0.469,0.128
0.269,0.597
0.071,0.804
0.306,0.519
0.335,0.905
0.310,0.909
0.986,0.516
0.402,0.738
0.474,0.071
1.000,0.526
1.024,0.543
0.410,0.665
0.351,0.796
0.933,0.503
0.483,0.782
0.435,0.087
0.080,0.755
0.264,0.940
0.365,0.704
0.359,0.467
0.293,0.922
0.283,0.479
0.922,0.554
0.408,0.649
0.461,0.716
0.385,0.002
0.366,0.069
0.460,0.093
0.354,0.091
0.496,0.722
0.522,0.059
0.682,0.758
0.470,0.683
0.384,0.487
0.094,0.744
0.418,0.779
0.135,0.815
0.677,0.793
0.451,0.731
0.490,0.013
0.075,0.733
0.579,0.074
0.944,0.534
0.333,0.482
0.376,0.025
0.960,0.468
0.500,0.058
0.686,0.861
0.639,0.823
0.670,0.805
0.316,0.902
0.290,0.912
0.106,0.704
0.723,0.819
0.368,0.755
0.449,0.132
0.350,0.061
0.386,0.697
1.031,0.592
0.400,0.726
0.651,0.796
0.265,0.505
0.495,0.126
0.400,0.793
0.448,0.708
0.136,0.764
0.027,0.756
0.405,0.764
0.562,0.033
0.340,0.514
0.439,0.073
0.746,0.747
0.424,0.135
0.425,0.695
0.095,0.815
0.420,0.697
0.762,0.796
0.325,0.052
0.455,0.072
0.291,0.932
0.396,0.168
0.041,0.720
0.914,0.543
1.019,0.507
0.961,0.490
0.527,0.086
0.642,0.784
0.416,0.082
0.383,0.074
0.336,0.912
0.582,0.102
0.989,0.557
0.076,0.748
0.967,0.539
0.318,0.047
0.221,0.896
0.642,0.832
0.679,0.792
0.062,0.725
0.330,0.460
0.419,0.045
0.256,0.516
0.264,0.906
0.093,0.763
0.960,0.541
0.935,0.574
0.464,0.738
0.056,0.799
0.518,0.018
0.604,0.860
0.343,0.051
0.291,0.493
1.050,0.544
0.281,0.487
0.448,0.068
0.923,0.574
0.489,0.080
0.262,0.961
0.467,0.753
0.462,0.058
0.435,0.772
0.334,0.935
0.386,0.095
0.502,0.059
0.025,0.750
0.527,0.159
0.328,0.503
0.458,0.717
0.396,0.068
0.514,0.716
0.664,0.826
0.004,0.812
0.515,0.055
0.099,0.728
0.046,0.832
0.338,0.947
0.415,0.155
0.691,0.864
0.502,0.099
0.089,0.739
0.998,0.554
0.475,0.011
0.927,0.533
0.328,0.531
0.227,0.546
0.495,0.142
0.473,0.048
0.419,0.771
0.402,0.062
0.063,0.808
0.927,0.543
0.056,0.754
0.240,0.869
0.624,0.844
0.525,0.037
0.337,0.499
0.428,0.075
0.932,0.582
1.004,0.505
0.930,0.594
0.268,0.927
0.107,0.811
0.344,0.069
0.702,0.810
0.323,0.939
0.282,0.559
0.052,0.791
0.944,0.569
0.299,0.874
0.446,0.778
0.277,0.902
0.172,0.833
0.011,0.810
0.368,0.669
0.172,0.754
0.557,0.803
0.502,0.100
0.426,0.750
0.406,0.749
0.422,0.694
0.194,0.491
0.497,0.656
0.246,0.901
0.996,0.546
0.433,0.743
0.078,0.752
0.657,0.779
0.639,0.778
0.552,0.072
1.000,0.552
0.101,0.772
0.089,0.792
0.982,0.560
0.098,0.771
0.278,0.935
0.114,0.785
0.269,0.538
0.309,0.978
0.974,0.508
0.413,0.731
0.272,0.559
0.965,0.570
0.444,0.682
0.247,0.487
0.471,0.103
0.264,0.432
0.454,0.672
0.307,0.910
0.377,0.026
0.019,0.763
0.365,0.034
0.477,0.135
0.401,0.728
0.754,0.832
0.272,0.092
0.708,0.766
0.262,0.887
0.755,0.759
0.592,0.098
0.511,0.126
0.428,0.750
0.158,0.754
0.365,0.024
0.444,0.722
0.296,0.926
0.659,0.893
0.299,0.536
0.681,0.819
0.062,0.856
0.228,0.952
0.215,0.453
0.469,0.046
0.338,0.912
0.271,0.950
0.601,0.008
0.661,0.825
0.399,0.693
0.383,0.892
0.261,0.894
0.104,0.804
0.300,0.490
0.312,0.040
0.393,0.087
0.528,0.076
0.299,0.853
0.023,0.798
0.526,0.075
0.479,0.683
0.399,0.708
0.963,0.502
0.391,0.720
0.439,0.730
0.495,0.114
0.315,0.918
0.395,0.039
0.267,0.548
0.480,0.051
0.231,0.544
0.510,0.716
0.313,0.538
0.222,0.532
0.249,0.539
0.619,0.749
0.419,0.760
0.688,0.810
0.947,0.533
0.101,0.872
0.952,0.522
0.102,0.744
0.234,0.488
0.690,0.803
0.394,0.115
0.449,0.099
0.537,0.042
0.018,0.799
0.012,0.738
0.432,0.085
0.941,0.474
1.020,0.497
0.742,0.798
0.378,0.086
0.932,0.537
0.227,0.932
0.296,0.528
0.979,0.513
0.983,0.518
0.330,0.936
0.296,0.866
0.986,0.503
0.282,0.939
0.276,0.884
0.479,0.083
0.034,0.795
0.746,0.902
0.690,0.770
0.423,0.766
0.278,0.943
0.701,0.808
0.307,0.472
0.550,0.013
0.345,0.550
0.912,0.546
0.491,0.057
0.299,0.888
0.419,0.040
0.065,0.793
0.055,0.799
1.008,0.549
0.292,0.536
0.387,0.080
0.276,0.852
